 - R	Amplitude (V) - R	 - IR	Amplitude (V) - IR
00:00.0	3.48E-09	00:00.0	-7.74E-10
00:00.0	2.87E-08	00:00.0	-6.90E-09
00:00.0	1.17E-07	00:00.0	-3.14E-08
00:00.0	3.17E-07	00:00.0	-9.98E-08
00:00.0	6.58E-07	00:00.0	-2.52E-07
00:00.0	1.11E-06	00:00.0	-5.41E-07
00:00.0	1.57E-06	00:00.0	-1.04E-06
00:00.0	1.85E-06	00:00.0	-1.82E-06
00:00.0	1.71E-06	00:00.0	-2.97E-06
00:00.0	8.55E-07	00:00.0	-4.58E-06
00:00.0	-1.02E-06	00:00.0	-6.76E-06
00:00.0	-4.18E-06	00:00.0	-9.60E-06
00:00.0	-8.83E-06	00:00.0	-1.32E-05
00:00.0	-1.51E-05	00:00.0	-1.77E-05
00:00.0	-2.30E-05	00:00.0	-2.31E-05
00:00.0	-3.23E-05	00:00.0	-2.97E-05
00:00.0	-4.29E-05	00:00.0	-3.74E-05
00:00.0	-5.44E-05	00:00.0	-4.65E-05
00:00.0	-6.65E-05	00:00.0	-5.71E-05
00:00.0	-7.86E-05	00:00.0	-6.92E-05
00:00.0	-9.04E-05	00:00.0	-8.30E-05
00:00.0	-0.000101544	00:00.0	-9.87E-05
00:00.0	-0.000111749	00:00.0	-0.000116235
00:00.0	-0.00012086	00:00.0	-0.000135851
00:00.0	-0.000128829	00:00.0	-0.00015763
00:00.0	-0.000135702	00:00.0	-0.00018168
00:00.0	-0.000141587	00:00.0	-0.000208102
00:00.0	-0.000146617	00:00.0	-0.000236992
00:00.0	-0.000150918	00:00.0	-0.000268442
00:00.0	-0.000154569	00:00.0	-0.000302538
00:00.0	-0.000157579	00:00.0	-0.00033936
00:00.0	-0.000159868	00:00.0	-0.000378978
00:00.0	-0.000161264	00:00.0	-0.000421457
00:00.0	-0.000161508	00:00.0	-0.000466853
00:00.0	-0.000160274	00:00.0	-0.000515213
00:00.0	-0.000157208	00:00.0	-0.000566574
00:00.0	-0.000151962	00:00.0	-0.000620965
00:00.0	-0.000144238	00:00.0	-0.00067841
00:00.0	-0.000133824	00:00.0	-0.000738928
00:00.0	-0.000120622	00:00.0	-0.00080253
00:00.0	-0.000104656	00:00.0	-0.000869222
00:00.0	-8.61E-05	00:00.0	-0.000939002
00:00.0	-6.51E-05	00:00.0	-0.00101186
00:00.0	-4.20E-05	00:00.0	-0.00108777
00:00.0	-1.72E-05	00:00.0	-0.0011667
00:00.0	9.12E-06	00:00.0	-0.00124863
00:00.0	3.66E-05	00:00.0	-0.00133351
00:00.0	6.52E-05	00:00.0	-0.00142128
00:00.0	9.46E-05	00:00.0	-0.0015119
00:00.0	0.000125063	00:00.0	-0.00160531
00:00.0	0.000156529	00:00.0	-0.00170142
00:00.1	0.000189184	00:00.1	-0.00180017
00:00.1	0.000223205	00:00.1	-0.00190148
00:00.1	0.000258753	00:00.1	-0.00200527
00:00.1	0.000295932	00:00.1	-0.00211144
00:00.1	0.000334758	00:00.1	-0.00221991
00:00.1	0.000375133	00:00.1	-0.00233058
00:00.1	0.000416844	00:00.1	-0.00244335
00:00.1	0.000459569	00:00.1	-0.00255811
00:00.1	0.000502912	00:00.1	-0.00267477
00:00.1	0.000546429	00:00.1	-0.00279318
00:00.1	0.000589678	00:00.1	-0.00291325
00:00.1	0.00063225	00:00.1	-0.00303485
00:00.1	0.000673807	00:00.1	-0.00315784
00:00.1	0.000714101	00:00.1	-0.00328211
00:00.1	0.000752984	00:00.1	-0.00340752
00:00.1	0.000790405	00:00.1	-0.00353394
00:00.1	0.000826397	00:00.1	-0.00366124
00:00.1	0.000861052	00:00.1	-0.00378928
00:00.1	0.00089448	00:00.1	-0.00391792
00:00.1	0.00092677	00:00.1	-0.00404702
00:00.1	0.000957952	00:00.1	-0.00417645
00:00.1	0.000987962	00:00.1	-0.00430606
00:00.1	0.00101663	00:00.1	-0.00443571
00:00.1	0.00104368	00:00.1	-0.00456526
00:00.1	0.00106874	00:00.1	-0.00469456
00:00.1	0.0010914	00:00.1	-0.00482348
00:00.1	0.00111121	00:00.1	-0.00495185
00:00.1	0.00112776	00:00.1	-0.00507953
00:00.1	0.00114066	00:00.1	-0.00520638
00:00.1	0.00114963	00:00.1	-0.00533224
00:00.1	0.00115449	00:00.1	-0.00545699
00:00.1	0.00115516	00:00.1	-0.00558048
00:00.1	0.00115166	00:00.1	-0.00570258
00:00.1	0.00114409	00:00.1	-0.00582315
00:00.1	0.00113262	00:00.1	-0.00594206
00:00.1	0.00111741	00:00.1	-0.00605917
00:00.1	0.00109859	00:00.1	-0.00617436
00:00.1	0.00107625	00:00.1	-0.00628752
00:00.1	0.00105036	00:00.1	-0.00639851
00:00.1	0.00102079	00:00.1	-0.00650722
00:00.1	0.000987318	00:00.1	-0.00661354
00:00.1	0.000949637	00:00.1	-0.00671736
00:00.1	0.000907403	00:00.1	-0.00681857
00:00.1	0.000860269	00:00.1	-0.00691705
00:00.1	0.000807921	00:00.1	-0.00701273
