 - R	Amplitude (V) - R	 - IR	Amplitude (V) - IR
00:00.0	4.61E-08	00:00.0	-6.92E-08
00:00.0	2.97E-07	00:00.0	-4.79E-07
00:00.0	9.68E-07	00:00.0	-1.69E-06
00:00.0	2.26E-06	00:00.0	-4.20E-06
00:00.0	4.38E-06	00:00.0	-8.47E-06
00:00.0	7.53E-06	00:00.0	-1.49E-05
00:00.0	1.18E-05	00:00.0	-2.38E-05
00:00.0	1.74E-05	00:00.0	-3.55E-05
00:00.0	2.43E-05	00:00.0	-5.02E-05
00:00.0	3.26E-05	00:00.0	-6.81E-05
00:00.0	4.23E-05	00:00.0	-8.96E-05
00:00.0	5.33E-05	00:00.0	-0.000114859
00:00.0	6.57E-05	00:00.0	-0.000144119
00:00.0	7.94E-05	00:00.0	-0.000177597
00:00.0	9.44E-05	00:00.0	-0.000215472
00:00.0	0.000110587	00:00.0	-0.000257899
00:00.0	0.000128101	00:00.0	-0.000305005
00:00.0	0.000146951	00:00.0	-0.000356898
00:00.0	0.000167176	00:00.0	-0.000413658
00:00.0	0.000188807	00:00.0	-0.000475349
00:00.0	0.00021187	00:00.0	-0.000542012
00:00.0	0.000236359	00:00.0	-0.000613644
00:00.0	0.000262218	00:00.0	-0.00069018
00:00.0	0.00028939	00:00.0	-0.000771544
00:00.0	0.000317838	00:00.0	-0.000857668
00:00.0	0.000347478	00:00.0	-0.000948447
00:00.0	0.000378181	00:00.0	-0.00104377
00:00.0	0.000409865	00:00.0	-0.00114355
00:00.0	0.000442498	00:00.0	-0.00124774
00:00.0	0.000475999	00:00.0	-0.00135623
00:00.0	0.00051024	00:00.0	-0.00146895
00:00.0	0.000545122	00:00.0	-0.00158578
00:00.0	0.00058055	00:00.0	-0.00170659
00:00.0	0.000616381	00:00.0	-0.00183116
00:00.0	0.000652483	00:00.0	-0.00195922
00:00.0	0.000688797	00:00.0	-0.00209056
00:00.0	0.000725309	00:00.0	-0.00222501
00:00.0	0.000761983	00:00.0	-0.00236245
00:00.0	0.000798782	00:00.0	-0.00250272
00:00.0	0.000835691	00:00.0	-0.00264569
00:00.0	0.000872646	00:00.0	-0.00279118
00:00.0	0.000909519	00:00.0	-0.00293904
00:00.0	0.000946163	00:00.0	-0.0030891
00:00.0	0.000982437	00:00.0	-0.00324117
00:00.0	0.00101819	00:00.0	-0.003395
00:00.0	0.00105323	00:00.0	-0.00355036
00:00.0	0.00108737	00:00.0	-0.00370703
00:00.0	0.0011205	00:00.0	-0.00386487
00:00.0	0.00115252	00:00.0	-0.00402366
00:00.0	0.00118335	00:00.0	-0.00418317
00:00.0	0.00121292	00:00.0	-0.00434315
00:00.1	0.00124115	00:00.1	-0.00450339
00:00.1	0.00126797	00:00.1	-0.00466364
00:00.1	0.00129334	00:00.1	-0.0048236
00:00.1	0.00131719	00:00.1	-0.00498302
00:00.1	0.00133946	00:00.1	-0.00514175
00:00.1	0.00136	00:00.1	-0.00529964
00:00.1	0.00137864	00:00.1	-0.00545655
00:00.1	0.0013952	00:00.1	-0.00561235
00:00.1	0.00140956	00:00.1	-0.00576688
00:00.1	0.0014216	00:00.1	-0.00592002
00:00.1	0.00143111	00:00.1	-0.00607164
00:00.1	0.00143789	00:00.1	-0.00622159
00:00.1	0.0014418	00:00.1	-0.00636974
00:00.1	0.00144276	00:00.1	-0.00651597
00:00.1	0.00144073	00:00.1	-0.00666016
00:00.1	0.00143572	00:00.1	-0.00680214
00:00.1	0.00142767	00:00.1	-0.00694172
00:00.1	0.00141652	00:00.1	-0.00707865
00:00.1	0.00140224	00:00.1	-0.00721273
00:00.1	0.00138486	00:00.1	-0.00734386
00:00.1	0.00136442	00:00.1	-0.00747195
00:00.1	0.00134091	00:00.1	-0.00759693
00:00.1	0.00131431	00:00.1	-0.00771872
00:00.1	0.00128459	00:00.1	-0.00783721
00:00.1	0.00125167	00:00.1	-0.00795228
00:00.1	0.0012154	00:00.1	-0.0080638
00:00.1	0.00117565	00:00.1	-0.00817169
00:00.1	0.00113238	00:00.1	-0.0082759
00:00.1	0.00108553	00:00.1	-0.00837639
00:00.1	0.00103505	00:00.1	-0.00847313
00:00.1	0.000980937	00:00.1	-0.00856607
00:00.1	0.000923183	00:00.1	-0.00865518
00:00.1	0.000861777	00:00.1	-0.00874043
00:00.1	0.000796768	00:00.1	-0.0088218
00:00.1	0.000728259	00:00.1	-0.00889927
00:00.1	0.000656314	00:00.1	-0.00897278
00:00.1	0.000580935	00:00.1	-0.00904227
00:00.1	0.000502115	00:00.1	-0.00910765
00:00.1	0.00041986	00:00.1	-0.00916891
00:00.1	0.000334188	00:00.1	-0.00922605
00:00.1	0.00024513	00:00.1	-0.00927908
00:00.1	0.00015273	00:00.1	-0.00932802
00:00.1	5.70E-05	00:00.1	-0.00937288
00:00.1	-4.20E-05	00:00.1	-0.00941367
00:00.1	-0.000144478	00:00.1	-0.00945033
00:00.1	-0.000250311	00:00.1	-0.00948282
00:00.1	-0.000359465	00:00.1	-0.00951117
00:00.1	-0.000471906	00:00.1	-0.00953542
00:00.1	-0.000587636	00:00.1	-0.00955561
00:00.1	-0.000706595	00:00.1	-0.00957179
00:00.1	-0.000828664	00:00.1	-0.00958401
00:00.1	-0.000953765	00:00.1	-0.00959232
